name;phone_code;flag;region_name
Абхазия;7;Abkhazia.png;Азия
Австралия;61;Australia.png;Азия
Австрия;43;Austria.png;Европа
Азербайджан;994;Azerbaijan.png;Азия
Албания;355;Albania.png;Европа
Алжир;213;Algeria.png;Африка
Американское Самоа;1;American_Samoa.png;Азия
Ангилья;1;Anguilla.png;Америка
Ангола;244;Angola.png;Африка
Андорра;376;Andorra.png;Европа
Антигуа и Барбуда;1;Antigua_and_Barbuda.png;Америка
Аргентина;54;Argentina.png;Америка
Армения;374;Armenia.png;Азия
Аруба;297;Aruba.png;Америка
Афганистан;93;Afghanistan.png;Азия
Багамы;1;Bahamas.png;Америка
Бангладеш;880;Bangladesh.png;Азия
Барбадос;1;Barbados.png;Америка
Бахрейн;973;Barzein.png;Азия
Беларусь;375;Belarus.png;Европа
Белиз;501;Belize.png;Америка
Бельгия;32;Belgium.png;Европа
Бенин;229;Benin.png;Африка
Бермудские острова;1;Bermuda.png;Америка
Болгария;359;Bulgaria.png;Европа
Боливия;591;Bolivia.png;Америка
Бонэйр, Синт-Эстатиус и Саба;599;Bonaire_Sint_Eustatius_and_Saba.png;Америка
Босния и Герцеговина;387;Bosnia_and_Herzegovina.png;Европа
Ботсвана;267;Botswana.png;Африка
Бразилия;55;Brazil.png;Америка
Британская территория в Индийском океане;246;British_Indian_Ocean_Territory.png;Азия
Бруней-Даруссалам;673;Brunei_Darussalam.png;Азия
Буркина-Фасо;226;Burkina_Faso.png;Африка
Бурунди;257;Burundi.png;Африка
Бутан;975;Bhutan.png;Азия
Вануату;678;Vanuatu.png;Азия
Ватикан;39;Vatican_City.png;Европа
Великобритания;44;Great_Britain.png;Европа
Венгрия;36;Hungary.png;Европа
Венесуэла;58;Venezuela.png;Америка
Британские Виргинские острова;1284;British_Virgin_Islands.png;Америка
Виргинские острова (США);1340;Wingin_Islands.png;Америка
Восточный Тимор;670;East_Timor.png;Азия
Вьетнам;84;Vietnam.png;Азия
Габон;241;Gabon.png;Африка
Гаити;509;Haiti.png;Америка
Гайана;592;Guyana.png;Америка
Гамбия;220;Gambia.png;Африка
Гана;233;Ghana.png;Африка
Гваделупа;590;Guadeloupe.png;Америка
Гватемала;502;Guatemala.png;Америка
Гвинея;224;Guinea.png;Африка
Гвинея-Бисау;245;Guinea-Bissau.png;Африка
Германия;49;Germany.png;Европа
Гибралтар;350;Gibraltar.png;Европа
Гондурас;504;Honduras.png;Америка
Гонконг;852;Hong Kong.png;Азия
Гренада;1;Grenada.png;Америка
Гренландия;299;Greenland.png;Европа
Греция;30;Greece.png;Европа
Грузия;995;Georgia.png;Европа
Гуам;1;Guam.png;Азия
Дания;45;Denmark.png;Европа
Джибути;253;Djibouti.png;Африка
Доминика;1;Dominica.png;Америка
Доминиканская республика;1;Dominican_Republic.png;Америка
Египет;20;Egypt.png;Африка
Замбия;260;Zambia.png;Африка
Зимбабве;263;Zimbabwe.png;Африка
Израиль;972;Israel.png;Азия
Индия;91;India.png;Азия
Индонезия;62;Indonesia.png;Азия
Иордания;962;Jordan.png;Азия
Ирак;964;Iraq.png;Азия
Иран;98;Iran.png;Азия
Ирландия;353;Ireland.png;Европа
Исландия;354;Iceland.png;Европа
Испания;34;Spain.png;Европа
Италия;39;Italy.png;Европа
Йемен;967;Yemen.png;Азия
Кабо-Верде;238;Cape_Verde.png;Африка
Казахстан;7;Kazakhstan.png;Азия
Камбоджа;855;Cambodia.png;Азия
Камерун;237;Cameroon.png;Африка
Канада;1;Canada.png;Америка
Катар;974;Qatar.png;Азия
Кения;254;Kenya.png;Африка
Кипр;357;Cyprus.png;Европа
Киргизия;996;Kyrgyzstan.png;Азия
Кирибати;686;Kiribati.png;Азия
Китай;86;China.png;Азия
КНДР;850;DPRK.png;Азия
Колумбия;57;Colombia.png;Америка
Коморы;269;Comoros.png;Азия
Конго-Браззавиль;242;Congo-Brazzaville.png;Африка
Демократическая Республика Конго (Киншаса);243;Congo-Kinshasa.png;Африка
Косово;383;Kosovo.png;Европа
Коста-Рика;506;Costa_Rica.png;Америка
Кот-д’Ивуар;225;Cote_d'Ivoire.png;Африка
Куба;53;Cuba.png;Америка
Кувейт;965;Kuwait.png;Азия
Кюрасао;599;Curacao.png;Америка
Лаос;856;Laos.png;Азия
Латвия;371;Latvia.png;Европа
Лесото;266;Lesotho.png;Африка
Либерия;231;Liberia.png;Африка
Ливан;961;Lebanon.png;Азия
Ливия;218;Libya.png;Африка
Литва;370;Lithuania.png;Европа
Лихтенштейн;423;Liechtenstein.png;Европа
Люксембург;352;Luxembourg.png;Европа
Маврикий;230;Mauritius.png;Африка
Мавритания;222;Mauritania.png;Африка
Мадагаскар;261;Madagascar.png;Африка
Макао;853;Macao.png;Азия
Малави;265;Malawi.png;Африка
Малайзия;60;Malaysia.png;Азия
Мали;223;Mali.png;Африка
Мальдивы;960;Maldives.png;Азия
Мальта;356;Malta.png;Европа
Марокко;212;Morocco.png;Африка
Мартиника;596;Martinique.png;Америка
Маршалловы острова;692;Marshall_Islands.png;Азия
Мексика;52;Mexico.png;Америка
Мозамбик;258;Mozambique.png;Африка
Молдова;373;Moldova.png;Европа
Монако;377;Monaco.png;Европа
Монголия;976;Mongolia.png;Азия
Монтсеррат;1;Montserrat.png;Америка
Мьянма;95;Myanmar.png;Азия
Намибия;264;Namibia.png;Африка
Науру;674;Nauru.png;Азия
Непал;977;Nepal.png;Азия
Нигер;227;Niger.png;Африка
Нигерия;234;Nigeria.png;Африка
Нидерланды;31;Netherlands.png;Европа
Никарагуа;505;Nicaragua.png;Америка
Ниуэ;683;Niue.png;Азия
Новая Зеландия;64;New_Zealand.png;Азия
Новая Каледония;687;New_Caledonia.png;Азия
остров Вознесения;247;Ascension_Island.png;Африка
остров Норфолк;672;Norfolk_Island.png;Азия
остров Святой Елены;290;St._Helena.png;Африка
острова Теркс и Кайкос;1;Turks_and_Caicos_Islands.png;Америка
ОАЭ;971;UAE.png;Азия
Оман;968;Oman.png;Азия
Острова Кайман;1;Cayman_Islands.png;Америка
Острова Кука;682;Cook_Islands.png;Азия
Пакистан;92;Pakistan.png;Азия
Палау;680;Palau.png;Азия
Палестина;970;Palestine.png;Азия
Панама;507;Panama.png;Америка
Папуа — Новая Гвинея;675;Papua_New_Guinea.png;Азия
Перу;51;Peru.png;Америка
Польша;48;Poland.png;Европа
Португалия;351;Portugal.png;Европа
Пуэрто-Рико;1;Puerto_Rico.png;Америка
Республика Корея;82;Republic_of_Korea.png;Азия
Реюньон;262;Reunion.png;Азия
Россия;7;Russia.png;Европа
Руанда;250;Rwanda.png;Африка
Румыния;40;Romania.png;Европа
Сальвадор;503;El_Salvador.png;Америка
Самоа;685;Samoa.png;Азия
Сан-Марино;378;San_Marino.png;Европа
Сан-Томе и Принсипи;239;Sao_Tome_and_Principe.png;Африка
Саудовская Аравия;966;Saudi_Arabia.png;Азия
Северная Македония;389;Northern_Macedonia.png;Европа
Северные Марианские острова;1;Northern_Mariana_Islands.png;Азия
Сейшельские острова;248;Seychelles.png;Африка
Сен-Бартелеми;590;Saint_Barthelemy.png;Америка
Сен-Мартен;590;Saint_Martin.png;Америка
Сен-Пьер и Микелон;508;Saint_Pierre_and_Miquelon.png;Америка
Сенегал;221;Senegal.png;Африка
Сен-Винсент и Гренадины;1;Saint_Vincent_and_the_Grenadines.png;Америка
Сент-Китс и Невис;1;Saint_Kitts_and_Nevis.png;Америка
Сент-Люсия;1;Saint_Lucia.png;Америка
Сербия;381;Serbia.png;Европа
Сингапур;65;Singapore.png;Азия
Синт-Мартен;1;France.png;Америка
Сирия;963;Syria.png;Азия
Словакия;421;Slovakia.png;Европа
Словения;386;Slovenia.png;Европа
США;1;USA.png;Америка
Соломоновы Острова;677;Solomon_Islands;Азия
Сомали;252;Somalia.png;Африка
Судан;249;Sudan.png;Африка
Суринам;597;Suriname.png;Америка
Сьерра-Леоне;232;Sierra_Leone.png;Африка
Таджикистан;992;Tajikistan.png;Азия
Таиланд;66;Thailand.png;Азия
Тайвань;886;Taiwan.png;Азия
Танзания;255;Tanzania.png;Африка
Того;228;Togo.png;Африка
Токелау;690;Tokelau.png;Азия
Тонга;676;Tonga.png;Азия
Тринидад и Тобаго;1;Trinidad_and_Tobago.png;Америка
Тувалу;688;Tuvalu.png;Азия
Тунис;216;Tunisia.png;Африка
Туркменистан;993;Turkmenistan.png;Азия
Турция;90;Turkey.png;Азия
Уганда;256;Uganda.png;Африка
Узбекистан;998;Uzbekistan.png;Азия
Украина;380;Ukraine.png;Азия
Уоллис и Футуна;681;Wallis_and_Futuna.png;Азия
Уругвай;598;Uruguay.png;Америка
Фарерские острова;298;Faroe_Islands.png;Европа
Федеративные Штаты Микронезии;691;Federated_States_of_Micronesia.png;Азия
Фиджи;679;Fiji.png;Азия
Филиппины;63;Philippines.png;Азия
Финляндия;358;Finland.png;Европа
Фолклендские острова;500;Falkland_Islands.png;Америка
Франция;33;France.png;Европа
Французская Гвиана;594;French_Guiana.png;Америка
Французская Полинезия;689;French_Polynesia.png;Азия
Хорватия;385;Croatia.png;Европа
Центрально-Африканская Республика;236;Central_African_Republic.png;Африка
Чад;235;Chad.png;Африка
Черногория;382;Montenegro.png;Европа
Чехия;420;Czech_Republic.png;Европа
Чили;56;Chile.png;Америка
Швейцария;41;Switzerland.png;Европа
Швеция;46;Sweden.png;Европа
Шри-Ланка;94;Sri_Lanka.png;Азия
Эквадор;593;Ecuador.png;Америка
Экваториальная Гвинея;240;Equatorial_Guinea.png;Африка
Эритрея;291;Eritrea.png;Африка
Эсватини;268;Eswatini.png;Африка
Эстония;372;Estonia.png;Европа
Эфиопия;251;Ethiopia.png;Африка
Южно-Африканская Республика;27;South_Africa.png;Африка
Южный Судан;211;South_Sudan.png;Африка
Ямайка;1;Jamaica.png;Америка
Япония;81;Japan.png;Азия